"","sampleID","Plot","Year","Genotype","Replicate","Derivation","Barcode","Date","RNAlater","Time","Temp..in.C","test1.exp","allP.exp","ratio.exp","exp.adjust","stress"
"1",499,82,2016,"B73","C","Q280bulk(greenhouse)","82_C_499","6/16/16","Yes","1:00-2:30 PM","32-34 C",17.34,27.39,1.57958477508651,11.8847945192278,15.5052054807722
"2",500,82,2016,"B73","D","Q280bulk(greenhouse)","82_D_500","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.65,28.03,1.68348348348348,13.3265396287954,14.7034603712046
"3",510,86,2016,"Mo074","B","2015_86self","86_B_510","6/16/16","Yes","1:00-2:30 PM","32-34 C",15.89,28.43,1.78917558212712,14.8776908175204,13.5523091824796
"4",511,86,2016,"Mo074","C","2015_86self","86_C_511","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.19,28.39,1.75355157504632,14.3399508082455,14.0500491917545
"5",512,86,2016,"Mo074","D","2015_86self","86_D_512","6/16/16","Yes ","1:00-2:30 PM","32-34 C",15.68,27.5,1.75382653061224,14.3440422149136,13.1559577850864
"6",521,87,2016,"Mo076","A","2015_87self","87_A_521","6/16/16","Yes","1:00-2:30 PM","32-34 C",14.28,28.01,1.96148459383754,17.432353202497,10.577646797503
"7",522,87,2016,"Mo076","B","2015_87self","87_B_522","6/16/16","Yes","1:00-2:30 PM","32-34 C",17.98,2.19,0.121802002224694,7.82333388689699,-5.63333388689699
"8",523,87,2016,"Mo076","C","2015_87self","87_C_523","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.13,27.32,1.69373837569746,13.471568817741,13.8484311822591
"9",524,87,2016,"Mo076","D","2015_87self","87_D_524","6/16/16","Yes ","1:00-2:30 PM","32-34 C",16.08,27.23,1.69340796019901,13.4668810417159,13.7631189582841
"10",533,90,2016,"Mo077","A","2015_90self","90_A_533","6/16/16","Yes","1:00-2:30 PM","32-34 C",17.96,26.88,1.49665924276169,10.7561855326812,16.1238144673188
"11",534,90,2016,"Mo077","B","2015_90self","90_B_534","6/16/16","Yes","1:00-2:30 PM","32-34 C",17.04,27.51,1.61443661971831,12.36624301915,15.14375698085
"12",535,90,2016,"Mo077","C","2015_90self","90_C_535","6/16/16","Yes","1:00-2:30 PM","32-34 C",12.74,26.78,2.10204081632653,18.6374688279989,8.14253117200107
"13",536,90,2016,"Mo077","D","2015_90self","90_D_536","6/16/16","Yes ","1:00-2:30 PM","32-34 C",15.29,28.48,1.86265533028123,16.0172177185253,12.4627822814747
"14",545,91,2016,"Mo079","A","2015_91self","91_A_545","6/16/16","Yes","1:00-2:30 PM","32-34 C",15.61,24.3,1.55669442664958,11.5688343478959,12.7311656521041
"15",546,91,2016,"Mo079","B","2015_91self","91_B_546","6/16/16","Yes","1:00-2:30 PM","32-34 C",18.85,33.96,1.80159151193634,15.0684030420569,18.8915969579431
"16",547,91,2016,"Mo079","C","2015_91self","91_C_547","6/16/16","Yes","1:00-2:30 PM","32-34 C",15.04,25.7,1.70877659574468,13.6860705700207,12.0139294299793
"17",548,91,2016,"Mo079","D","2015_91self","91_D_548","6/16/16","Yes ","1:00-2:30 PM","32-34 C",14.65,29.66,2.02457337883959,18.1131790498234,11.5468209501766
"18",557,94,2016,"Mo262","A","2015_94self","94_A_557","6/16/16","Yes","1:00-2:30 PM","32-34 C",13.79,28.15,2.04133430021755,18.2553968407017,9.89460315929828
"19",558,94,2016,"Mo262","B","2015_94self","94_B_558","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.38,27.98,1.70818070818071,13.677526347015,14.302473652985
"20",559,94,2016,"Mo262","C","2015_94self","94_C_559","6/16/16","Yes","1:00-2:30 PM","32-34 C",15.01,27.52,1.83344437041972,15.5628180772428,11.9571819227572
"21",560,94,2016,"Mo262","D","2015_94self","94_D_560","6/16/16","Yes ","1:00-2:30 PM","32-34 C",14.56,27.12,1.86263736263736,16.0169396736353,11.1030603263647
"22",569,95,2016,"Mo264","A","2015_95self","95_A_569","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.88,26.92,1.59478672985782,12.0948193875563,14.8251806124437
"23",570,95,2016,"Mo264","B","2015_95self","95_B_570","6/16/16","Yes","1:00-2:30 PM","32-34 C",19.77,34.67,1.75366717248356,14.3416708112883,20.3283291887117
"24",571,95,2016,"Mo264","C","2015_95self","95_C_571","6/16/16","Yes","1:00-2:30 PM","32-34 C",17.07,27.45,1.60808435852373,12.2785006505117,15.1714993494883
"25",572,95,2016,"Mo264","D","2015_95self","95_D_572","6/16/16","Yes ","1:00-2:30 PM","32-34 C",17.36,27.7,1.59562211981567,12.1063597935789,15.5936402064211
"26",581,98,2016,"Mo265","A","2015_98self","98_A_581","6/16/16","Yes","1:00-2:30 PM","32-34 C",17.67,27.53,1.55800792303339,11.586937017212,15.943062982788
"27",582,98,2016,"Mo265","B","2015_98self","98_B_582","6/16/16","Yes","1:00-2:30 PM","32-34 C",16.05,28.5,1.77570093457944,14.6725325702728,13.8274674297272
"28",583,98,2016,"Mo265","C","2015_98self","98_C_583","6/16/16","Yes","1:00-2:30 PM","32-34 C",17.14,30.85,1.79988331388565,15.0420788268129,15.8079211731871
"29",584,98,2016,"Mo265","D","2015_98self","98_D_584","6/16/16","Yes ","1:00-2:30 PM","32-34 C",14.61,27.24,1.86447638603696,16.0453821570959,11.1946178429041
"30",593,99,2016,"Mo266","A","2015_99self","99_A_593","6/16/16","Yes","1:00-2:30 PM","32-34 C",13.6,25.7,1.88970588235294,16.4310356078722,9.26896439212785
"31",594,99,2016,"Mo266","B","2015_99self","99_B_594","6/16/16","Yes","1:00-2:30 PM","32-34 C",20.35,35.81,1.75970515970516,14.4317437446832,21.3782562553168
