"","reaction_type","sampleID","starting_quantity","cpD1"
"1","all_products","499","NaN","27.39"
"2","all_products","523","NaN","27.32"
"3","all_products","547","NaN","25.70"
"4","all_products","571","NaN","27.45"
"5","all_products","595","NaN","26.16"
"6","all_products","619","NaN","26.63"
"7","all_products","642","NaN","28.81"
"8","all_products","667","NaN","28.36"
"9","all_products","691","NaN","27.43"
"10","all_products","715","NaN","28.09"
"11","all_products","1821","NaN","28.18"
"12","all_products","gblock+IRE_plus18IRE","50.00","7.40"
"13","all_products","gblock+IRE_plus18IRE","50.00","7.91"
"14","all_products","gblock+IRE_plus18IRE","50.00","8.16"
"18","all_products","1050","NaN","29.37"
"19","all_products","1040","NaN","24.47"
"20","all_products","1063","NaN","24.13"
"21","all_products","1061","NaN","24.81"
"22","all_products","1085","NaN","24.51"
"23","all_products","1275","NaN","22.63"
"24","all_products","1308","NaN","23.14"
"25","all_products","980","NaN","24.95"
"26","all_products","1451","NaN","28.93"
"27","all_products","1355","NaN","30.21"
"28","all_products","1558","NaN","30.53"
"29","all_products","1545","NaN","28.27"
"30","all_products","1546","NaN","23.48"
"31","all_products","1424","NaN","29.41"
"32","all_products","1498","NaN","25.54"
"33","all_products","gblock+IRE_plus18IRE","0.10","14.03"
"34","all_products","gblock+IRE_plus18IRE","0.10","13.84"
"35","all_products","gblock+IRE_plus18IRE","0.10","14.93"
"39","all_products","500","NaN","28.03"
"40","all_products","524","NaN","27.23"
"41","all_products","548","NaN","29.66"
"42","all_products","572","NaN","27.70"
"43","all_products","596","NaN","26.26"
"44","all_products","620","NaN","26.71"
"45","all_products","643","NaN","27.37"
"46","all_products","668","NaN","29.82"
"47","all_products","692","NaN","25.75"
"48","all_products","1809","NaN","26.28"
"49","all_products","1848","NaN","25.25"
"50","all_products","gblock+IRE_plus18IRE","10.00","8.73"
"51","all_products","gblock+IRE_plus18IRE","10.00","8.68"
"52","all_products","gblock+IRE_plus18IRE","10.00","8.64"
"56","all_products","1014","NaN","28.14"
"57","all_products","1051","NaN","25.35"
"58","all_products","1064","NaN","24.43"
"59","all_products","1026","NaN","27.79"
"60","all_products","1086","NaN","26.00"
"61","all_products","1258","NaN","24.57"
"62","all_products","1296","NaN","23.19"
"63","all_products","978","NaN","24.34"
"64","all_products","1440","NaN","17.18"
"65","all_products","1320","NaN","30.67"
"66","all_products","1535","NaN","30.21"
"67","all_products","1547","NaN","15.83"
"68","all_products","1426","NaN","10.16"
"69","all_products","1522","NaN","1"
"70","all_products","1342","NaN","28.29"
"71","all_products","gblock+IRE_plus18IRE","0.05","15.39"
"72","all_products","gblock+IRE_plus18IRE","0.05","14.90"
"73","all_products","gblock+IRE_plus18IRE","0.05","16.48"
"77","all_products","509","Nan","28.07"
"78","all_products","533","Nan","26.88"
"79","all_products","557","Nan","28.15"
"80","all_products","581","Nan","27.53"
"81","all_products","605","Nan","27.96"
"82","all_products","629","Nan","24.59"
"83","all_products","644","Nan","26.32"
"84","all_products","677","Nan","27.61"
"85","all_products","701","Nan","23.53"
"86","all_products","1810","Nan","25.08"
"87","all_products","1847","Nan","27.46"
"88","all_products","gblock+IRE_plus18IRE","5.00","10.07"
"89","all_products","gblock+IRE_plus18IRE","5.00","10.39"
"90","all_products","gblock+IRE_plus18IRE","5.00","8.98"
"94","all_products","1015","NaN","25.31"
"95","all_products","1038","NaN","24.16"
"96","all_products","1073","NaN","28.85"
"97","all_products","1049","NaN","25.00"
"98","all_products","1052","NaN","24.45"
"99","all_products","1305","NaN","22.92"
"100","all_products","1307","NaN","24.00"
"101","all_products","1026","NaN","19.37"
"102","all_products","1423","NaN","3.14"
"103","all_products","1344","NaN","28.93"
"104","all_products","1353","NaN","22.43"
"105","all_products","1488","NaN","22.26"
"106","all_products","1536","NaN","25.36"
"107","all_products","1329","NaN","10.10"
"108","all_products","gblock+IRE_plus18IRE","0.01","17.78"
"109","all_products","gblock+IRE_plus18IRE","0.01","15.93"
"110","all_products","gblock+IRE_plus18IRE","0.01","19.31"
"114","all_products","510","NaN","28.43"
"115","all_products","534","NaN","27.51"
"116","all_products","558","NaN","27.98"
"117","all_products","582","NaN","28.50"
"118","all_products","606","NaN","27.65"
"119","all_products","630","NaN","23.9"
"120","all_products","653","NaN","24.71"
"121","all_products","678","NaN","26.59"
"122","all_products","702","NaN","25.40"
"123","all_products","1811","NaN","27.72"
"124","all_products","1846","NaN","27.46"
"125","all_products","gblock+IRE_plus18IRE","1.00","12.04"
"126","all_products","gblock+IRE_plus18IRE","1.00","11.98"
"127","all_products","gblock+IRE_plus18IRE","1.00","11.24"
"131","all_products","1016","NaN","25.46"
"132","all_products","1037","NaN","27.84"
"133","all_products","1074","NaN","23.37"
"134","all_products","1199","NaN","25.09"
"135","all_products","1281","NaN","22.80"
"136","all_products","1293","NaN","24.26"
"137","all_products","1306","NaN","13.23"
"138","all_products","1462","NaN","16.85"
"139","all_products","1467","NaN","22.35"
"140","all_products","1390","NaN","21.56"
"141","all_products","1356","NaN","13.40"
"142","all_products","1378","NaN","23.5"
"143","all_products","1497","NaN","14.57"
"144","all_products","1524","NaN","1"
"145","all_products","1463","NaN","1"
"146","all_products","gblock+IRE_plus18IRE","0.005 ","19.49"
"147","all_products","gblock+IRE_plus18IRE","0.005 ","17.56"
"148","all_products","gblock+IRE_plus18IRE","0.005 ","20.09"
"152","all_products","511","NaN","28.39"
"153","all_products","535","NaN","26.78"
