"","reaction_type","sampleID","starting_quantity","cpD1","cpD2"
"V3","all_products","499","NaN","27.39","26.04"
"V4","all_products","523","NaN","27.32","25.92"
"V5","all_products","547","NaN","25.70","23.27"
"V6","all_products","571","NaN","27.45","26.90"
"V7","all_products","595","NaN","26.16","24.74"
"V8","all_products","619","NaN","26.63","25.07"
"V9","all_products","642","NaN","28.81","28.24"
"V10","all_products","667","NaN","28.36","19.85"
"V11","all_products","691","NaN","27.43","26.57"
"V12","all_products","715","NaN","28.09","27.20"
"V13","all_products","1821","NaN","28.18","27.49"
"V14","all_products","gblock+IRE_plus18IRE","50.00","7.40","3.26"
"V15","all_products","gblock+IRE_plus18IRE","50.00","7.91","3.77"
"V16","all_products","gblock+IRE_plus18IRE","50.00","8.16","4.02"
"V17","all_products","gblock_minusIRE_onlyExonnoIRE","50.00","8.90","4.97"
"V18","all_products","gblock_minusIRE_onlyExonnoIRE","50.00","14.85","13.70"
"V19","all_products","gblock_minusIRE_onlyExonnoIRE","50.00","14.93","13.59"
"V20","all_products","1050","NaN","29.37","28.49"
"V21","all_products","1040","NaN","24.47","22.37"
"V22","all_products","1063","NaN","24.13","22.25"
"V23","all_products","1061","NaN","24.81","22.43"
"V24","all_products","1085","NaN","24.51","22.86"
"V25","all_products","1275","NaN","22.63","20.90"
"V26","all_products","1308","NaN","23.14","19.48"
"V27","all_products","980","NaN","24.95","22.34"
"V28","all_products","1451","NaN","28.93","27.82"
"V29","all_products","1355","NaN","30.21","28.87"
"V30","all_products","1558","NaN","30.53","28.54"
"V31","all_products","1545","NaN","28.27"," 5.51"
"V32","all_products","1546","NaN","23.48","21.50"
"V33","all_products","1424","NaN","29.41","28.65"
"V34","all_products","1498","NaN","25.54","22.76"
"V35","all_products","gblock+IRE_plus18IRE","0.10","14.03","11.63"
"V36","all_products","gblock+IRE_plus18IRE","0.10","13.84","11.57"
"V37","all_products","gblock+IRE_plus18IRE","0.10","14.93","12.72"
"V38","all_products","gblock_minusIRE_onlyExonnoIRE","0.10","14.15","12.11"
