"","reaction_type","sampleID","starting_quantity","cpD1"
"49","test1","gblock+IRE_plus18IRE",0.005,12.07
"50","test1","gblock+IRE_plus18IRE",0.005,13.09
"51","test1","gblock+IRE_plus18IRE",0.005,16.54
"22","all_products","gblock+IRE_plus18IRE",0.005,19.49
"23","all_products","gblock+IRE_plus18IRE",0.005,17.56
"24","all_products","gblock+IRE_plus18IRE",0.005,20.09
"16","all_products","gblock+IRE_plus18IRE",0.01,17.78
"17","all_products","gblock+IRE_plus18IRE",0.01,15.93
"18","all_products","gblock+IRE_plus18IRE",0.01,19.31
"43","test1","gblock+IRE_plus18IRE",0.01,13.78
"44","test1","gblock+IRE_plus18IRE",0.01,12.58
"45","test1","gblock+IRE_plus18IRE",0.01,14.74
"10","all_products","gblock+IRE_plus18IRE",0.05,15.39
"11","all_products","gblock+IRE_plus18IRE",0.05,14.9
"12","all_products","gblock+IRE_plus18IRE",0.05,16.48
"37","test1","gblock+IRE_plus18IRE",0.05,12.54
"38","test1","gblock+IRE_plus18IRE",0.05,11.13
"39","test1","gblock+IRE_plus18IRE",0.05,12.93
"4","all_products","gblock+IRE_plus18IRE",0.1,14.03
"5","all_products","gblock+IRE_plus18IRE",0.1,13.84
"6","all_products","gblock+IRE_plus18IRE",0.1,14.93
"31","test1","gblock+IRE_plus18IRE",0.1,11.15
"32","test1","gblock+IRE_plus18IRE",0.1,11.19
"33","test1","gblock+IRE_plus18IRE",0.1,11.9
"25","all_products","gblock+IRE_plus18IRE",0.5,13.21
"26","all_products","gblock+IRE_plus18IRE",0.5,12.98
"27","all_products","gblock+IRE_plus18IRE",0.5,12.36
"52","test1","gblock+IRE_plus18IRE",0.5,10.85
"53","test1","gblock+IRE_plus18IRE",0.5,11.12
"54","test1","gblock+IRE_plus18IRE",0.5,11.12
"19","all_products","gblock+IRE_plus18IRE",1,12.04
"20","all_products","gblock+IRE_plus18IRE",1,11.98
"21","all_products","gblock+IRE_plus18IRE",1,11.24
"46","test1","gblock+IRE_plus18IRE",1,10.33
"47","test1","gblock+IRE_plus18IRE",1,10.78
"48","test1","gblock+IRE_plus18IRE",1,10.07
"7","all_products","gblock+IRE_plus18IRE",10,8.73
"8","all_products","gblock+IRE_plus18IRE",10,8.68
"9","all_products","gblock+IRE_plus18IRE",10,8.64
"34","test1","gblock+IRE_plus18IRE",10,7.76
"35","test1","gblock+IRE_plus18IRE",10,7.67
"36","test1","gblock+IRE_plus18IRE",10,8.08
"13","all_products","gblock+IRE_plus18IRE",5,10.07
"14","all_products","gblock+IRE_plus18IRE",5,10.39
"15","all_products","gblock+IRE_plus18IRE",5,8.98
"40","test1","gblock+IRE_plus18IRE",5,8.68
"41","test1","gblock+IRE_plus18IRE",5,9.7
"42","test1","gblock+IRE_plus18IRE",5,9.8
"1","all_products","gblock+IRE_plus18IRE",50,7.4
"2","all_products","gblock+IRE_plus18IRE",50,7.91
"3","all_products","gblock+IRE_plus18IRE",50,8.16
"28","test1","gblock+IRE_plus18IRE",50,8.66
"29","test1","gblock+IRE_plus18IRE",50,10.25
"30","test1","gblock+IRE_plus18IRE",50,9.25
