"","reaction_type","sampleID","starting_quantity","cpD1","cpD2"
"1","all_products","499","NaN","27.39","26.04"
"2","all_products","523","NaN","27.32","25.92"
"3","all_products","547","NaN","25.70","23.27"
"4","all_products","571","NaN","27.45","26.90"
"5","all_products","595","NaN","26.16","24.74"
"6","all_products","619","NaN","26.63","25.07"
"7","all_products","642","NaN","28.81","28.24"
"8","all_products","667","NaN","28.36","19.85"
"9","all_products","691","NaN","27.43","26.57"
"10","all_products","715","NaN","28.09","27.20"
"11","all_products","1821","NaN","28.18","27.49"
"12","all_products","1050","NaN","29.37","28.49"
"13","all_products","1040","NaN","24.47","22.37"
"14","all_products","1063","NaN","24.13","22.25"
"15","all_products","1061","NaN","24.81","22.43"
"16","all_products","1085","NaN","24.51","22.86"
"17","all_products","1275","NaN","22.63","20.90"
"18","all_products","1308","NaN","23.14","19.48"
"19","all_products","980","NaN","24.95","22.34"
"20","all_products","1451","NaN","28.93","27.82"
"21","all_products","1355","NaN","30.21","28.87"
"22","all_products","1558","NaN","30.53","28.54"
"23","all_products","1545","NaN","28.27"," 5.51"
"24","all_products","1546","NaN","23.48","21.50"
"25","all_products","1424","NaN","29.41","28.65"
"26","all_products","1498","NaN","25.54","22.76"
"27","all_products","500","NaN","28.03","27.40"
"28","all_products","524","NaN","27.23","26.38"
"29","all_products","548","NaN","29.66","28.78"
"30","all_products","572","NaN","27.70","27.02"
"31","all_products","596","NaN","26.26","25.20"
"32","all_products","620","NaN","26.71","25.41"
"33","all_products","643","NaN","27.37","26.74"
"34","all_products","668","NaN","29.82","29.24"
"35","all_products","692","NaN","25.75","24.10"
"36","all_products","1809","NaN","26.28","24.97"
"37","all_products","1848","NaN","25.25","23.79"
"38","all_products","1014","NaN","28.14","27.26"
"39","all_products","1051","NaN","25.35","23.36"
"40","all_products","1064","NaN","24.43","22.41"
"41","all_products","1026","NaN","27.79","11.78"
"42","all_products","1086","NaN","26.00","23.83"
"43","all_products","1258","NaN","24.57","22.18"
"44","all_products","1296","NaN","23.19","20.48"
"45","all_products","978","NaN","24.34","21.21"
"46","all_products","1440","NaN","17.18","13.51"
"47","all_products","1320","NaN","30.67","29.79"
"48","all_products","1535","NaN","30.21","29.32"
"49","all_products","1547","NaN","15.83"," 9.88"
"50","all_products","1426","NaN","10.16"," 9.30"
"51","all_products","1522","NaN","1","1"
"52","all_products","1342","NaN","28.29","27.22"
"53","all_products","509","Nan","28.07","27.30"
"54","all_products","533","Nan","26.88","25.50"
"55","all_products","557","Nan","28.15","27.60"
"56","all_products","581","Nan","27.53","27.00"
"57","all_products","605","Nan","27.96","27.26"
"58","all_products","629","Nan","24.59","22.92"
"59","all_products","644","Nan","26.32","24.68"
"60","all_products","677","Nan","27.61","26.96"
"61","all_products","701","Nan","23.53","22.13"
"62","all_products","1810","Nan","25.08","23.99"
"63","all_products","1847","Nan","27.46","26.90"
"64","all_products","1015","NaN","25.31","23.00"
"65","all_products","1038","NaN","24.16","21.29"
"66","all_products","1073","NaN","28.85","23.05"
"67","all_products","1049","NaN","25.00","22.84"
"68","all_products","1052","NaN","24.45","22.35"
"69","all_products","1305","NaN","22.92","20.42"
"70","all_products","1307","NaN","24.00","22.24"
"71","all_products","1026","NaN","19.37"," 4.48"
"72","all_products","1423","NaN","3.14","1.80"
"73","all_products","1344","NaN","28.93","27.32"
"74","all_products","1353","NaN","22.43","21.51"
"75","all_products","1488","NaN","22.26","19.58"
"76","all_products","1536","NaN","25.36","22.11"
"77","all_products","1329","NaN","10.10"," 8.96"
"78","all_products","510","NaN","28.43","27.61"
"79","all_products","534","NaN","27.51","26.07"
"80","all_products","558","NaN","27.98","27.01"
