"","reaction_type","sampleID","starting_quantity","cpD1","cpD2"
"1","test1","gblock+IRE_plus18IRE","100","17.86","12.83"
"2","test1","gblock+IRE_plus18IRE","100","17.97","12.83"
"3","test1","gblock+IRE_plus18IRE","100","17.95","12.82"
"4","all_products","gblock+IRE_plus18IRE","100","19.260000000000002","13.68"
"5","all_products","gblock+IRE_plus18IRE","100","19.23","13.59"
"6","all_products","gblock+IRE_plus18IRE","100","19.22","13.54"
"7","all_products","gblock_minusIRE_onlyExonnoIRE","100","18.13","12.52"
"8","all_products","gblock_minusIRE_onlyExonnoIRE","100","18.32","12.61"
"9","all_products","gblock_minusIRE_onlyExonnoIRE","100","18.37","12.38"
"10","test1","gblock+IRE_plus18IRE","0.5","26.12","21.38"
"11","test1","gblock+IRE_plus18IRE","0.5","25.99","21.34"
"12","test1","gblock+IRE_plus18IRE","0.5","25.99","21.29"
"13","all_products","gblock+IRE_plus18IRE","0.5","27.59","22.76"
"14","all_products","gblock+IRE_plus18IRE","0.5","27.63","22.81"
"15","all_products","gblock+IRE_plus18IRE","0.5","27.62","22.76"
"16","all_products","gblock_minusIRE_onlyExonnoIRE","0.5","26.29","21.46"
"17","all_products","gblock_minusIRE_onlyExonnoIRE","0.5","26.2","21.3"
"18","all_products","gblock_minusIRE_onlyExonnoIRE","0.5","26.48","21.45"
"19","test1","gblock+IRE_plus18IRE","50","19.07","14.07"
"20","test1","gblock+IRE_plus18IRE","50","19.190000000000001","14.14"
"21","test1","gblock+IRE_plus18IRE","50","19.11","14.04"
"22","all_products","gblock+IRE_plus18IRE","50","20.45","15"
"23","all_products","gblock+IRE_plus18IRE","50","20.5","15"
"24","all_products","gblock+IRE_plus18IRE","50","20.37","14.75"
"25","all_products","gblock_minusIRE_onlyExonnoIRE","50","19.52","13.7"
"26","all_products","gblock_minusIRE_onlyExonnoIRE","50","19.489999999999998","13.86"
"27","all_products","gblock_minusIRE_onlyExonnoIRE","50","19.41","13.7"
"28","test1","gblock+IRE_plus18IRE","0.1","28.46","23.95"
"29","test1","gblock+IRE_plus18IRE","0.1","28.28","23.83"
"30","test1","gblock+IRE_plus18IRE","0.1","28.42","23.97"
"31","all_products","gblock+IRE_plus18IRE","0.1","29.95","25.52"
"32","all_products","gblock+IRE_plus18IRE","0.1","30.12","25.61"
"33","all_products","gblock+IRE_plus18IRE","0.1","30","25.55"
"34","all_products","gblock_minusIRE_onlyExonnoIRE","0.1","28.66","24.11"
"35","all_products","gblock_minusIRE_onlyExonnoIRE","0.1","28.59","23.97"
"36","all_products","gblock_minusIRE_onlyExonnoIRE","0.1","28.74","24.08"
"37","test1","gblock+IRE_plus18IRE","10","21.54","16.66"
"38","test1","gblock+IRE_plus18IRE","10","21.59","16.63"
"39","test1","gblock+IRE_plus18IRE","10","21.68","16.579999999999998"
"40","all_products","gblock+IRE_plus18IRE","10","22.96","17.739999999999998"
"41","all_products","gblock+IRE_plus18IRE","10","23.15","17.8"
