,reaction_type,sampleID,starting_quantity,cpD1,cpD2
1,test1,10_A_65,NaN,32.98,29.46
2,test1,30_A_185,NaN,33.21,29.67
3,test1,46_A_281,NaN,32.33,28.51
4,test1,233_A_1653,NaN,32.44,28.78
5,test1,162_A_941,NaN,31.95,28.16
6,test1,170_A_989,NaN,32.95,29.37
7,test1,206_A_1329,NaN,32.67,29.08
8,test1,212_A_1401,NaN,34.36,31.13
9,test1,231_A_1629,NaN,33.91,30.54
10,test1,243_A_1793,NaN,35.65,32.77
11,test1,221_A_1509,NaN,34.5,31.2
12,test1,248_A_1833,NaN,36.68,33.98
13,all_products,10_A_65,NaN,38.53,36.33
14,all_products,30_A_185,NaN,39.69,37.67
15,all_products,46_A_281,NaN,38.83,36.55
16,all_products,233_A_1653,NaN,38.38,36.16
17,all_products,162_A_941,NaN,38.14,35.92
18,all_products,170_A_989,NaN,39.2,36.98
19,all_products,206_A_1329,NaN,38.87,36.67
20,all_products,212_A_1401,NaN,40,39.44
21,all_products,231_A_1629,NaN,40,38.29
22,all_products,243_A_1793,NaN,40,1
23,all_products,221_A_1509,NaN,40,38.33
24,all_products,248_A_1833,NaN,40,1
25,test1,10_B_66,NaN,35.56,32.76
26,test1,30_B_186,NaN,37.28,34.84
27,test1,46_B_282,NaN,32.64,28.88
28,test1,233_B_1654,NaN,34.01,30.7
29,test1,162_B_942,NaN,31.87,27.99
30,test1,170_B_990,NaN,32.35,28.58
31,test1,206_B_1330,NaN,33.11,29.54
32,test1,212_B_1402,NaN,33.79,30.47
33,test1,231_B_1630,NaN,35.66,32.77
34,test1,243_B_1794,NaN,35.56,32.53
35,test1,221_B_1510,NaN,33.82,30.35
36,test1,248_B_1834,NaN,34.67,31.49
37,all_products,10_B_66,NaN,40,1.98
38,all_products,30_B_186,NaN,40,1
39,all_products,46_B_282,NaN,40,37.63
40,all_products,233_B_1654,NaN,38.43,36.82
41,all_products,162_B_942,NaN,38.42,36.15
42,all_products,170_B_990,NaN,39.08,36.93
43,all_products,206_B_1330,NaN,40,37.46
44,all_products,212_B_1402,NaN,40,40
45,all_products,231_B_1630,NaN,40,1
46,all_products,243_B_1794,NaN,40,1
47,all_products,221_B_1510,NaN,40,37.7
48,all_products,248_B_1834,NaN,40,1
49,test1,10_C_67,NaN,32.41,28.74
50,test1,30_C_187,NaN,32.44,28.71
51,test1,46_C_283,NaN,32.98,29.42
52,test1,233_C_1655,NaN,34.81,31.6
53,test1,162_C_943,NaN,31.88,27.94
54,test1,170_C_991,NaN,32.53,28.75
55,test1,206_C_1331,NaN,35.23,32.1
56,test1,212_C_1403,NaN,33.71,30.26
57,test1,231_C_1631,NaN,33.44,29.92
58,test1,243_C_1795,NaN,34.38,31.08
59,test1,221_C_1511,NaN,38.16,35.84
60,test1,248_C_1835,NaN,33.7,30.18
61,all_products,10_C_67,NaN,38.37,36
62,all_products,30_C_187,NaN,38.4,36.3
63,all_products,46_C_283,NaN,39.11,36.94
64,all_products,233_C_1655,NaN,40,1.16
65,all_products,162_C_943,NaN,38.17,35.69
66,all_products,170_C_991,NaN,38.91,36.38
67,all_products,206_C_1331,NaN,40,40
68,all_products,212_C_1403,NaN,40,38.89
69,all_products,231_C_1631,NaN,39.94,37.41
70,all_products,243_C_1795,NaN,40,38.95
71,all_products,221_C_1511,NaN,40,1
72,all_products,248_C_1835,NaN,39.21,37.03
73,test1,10_D_68,NaN,32.92,29.32
74,test1,30_D_188,NaN,34.07,30.84
75,test1,46_D_284,NaN,34.76,31.66
76,test1,233_D_1656,NaN,33.75,30.22
77,test1,162_D_944,NaN,31.87,27.99
78,test1,170_D_992,NaN,32.62,28.93
79,test1,212_D_1404,NaN,38.78,36.78
80,test1,231_D_1632,NaN,34.13,30.78
81,test1,243_D_1796,NaN,35.06,32.01
82,test1,221_D_1512,NaN,32.74,29.09
83,test1,248_D_1836,NaN,33.78,30.44
84,all_products,10_D_68,NaN,38.4,36.15
85,all_products,30_D_188,NaN,40,1
86,all_products,46_D_284,NaN,40,40
87,all_products,233_D_1656,NaN,40,37.67
88,all_products,162_D_944,NaN,38.5,35.9
89,all_products,170_D_992,NaN,39.11,36.66
90,all_products,212_D_1404,NaN,40,1.24
91,all_products,231_D_1632,NaN,40,37.92
92,all_products,243_D_1796,NaN,40,40
93,all_products,221_D_1512,NaN,38.79,36.28
94,all_products,248_D_1836,NaN,40,38.01
95,test1,19_A_125,NaN,34.89,31.88
96,test1,35_A_221,NaN,36.14,33.49
97,test1,70_A_425,NaN,37.65,35.54
98,test1,242_A_1761,NaN,33.33,29.74
99,test1,166_A_965,NaN,33.84,30.46
100,test1,201_A_1269,NaN,36.19,33.39
101,test1,209_A_1365,NaN,32.97,29.27
102,test1,214_A_1425,NaN,36.42,33.57
103,test1,236_A_1689,NaN,35.06,32.1
104,test1,245_A_1797,NaN,38.45,36.43
105,test1,250_A_1857,NaN,35.37,32.43
106,all_products,19_A_125,NaN,40,39.07
107,all_products,35_A_221,NaN,40,1.13
108,all_products,70_A_425,NaN,40,1.03
109,all_products,242_A_1761,NaN,39.26,36.92
110,all_products,166_A_965,NaN,40,37.98
111,all_products,201_A_1269,NaN,40,1.29
112,all_products,209_A_1365,NaN,39.94,36.83
113,all_products,214_A_1425,NaN,40,1
114,all_products,236_A_1689,NaN,40,40
115,all_products,245_A_1797,NaN,40,1.33
116,all_products,250_A_1857,NaN,39.74,37.92
117,test1,19_B_126,NaN,32.84,29.28
118,test1,35_B_222,NaN,33.01,29.38
119,test1,70_B_426,NaN,32.61,28.82
120,test1,242_B_1762,NaN,33.45,29.92
121,test1,166_B_966,NaN,33.9,30.56
122,test1,201_B_1270,NaN,33.2,29.52
123,test1,209_B_1366,NaN,32.47,28.8
124,test1,214_B_1426,NaN,32.36,28.59
125,test1,236_B_1690,NaN,33.62,30.25
126,test1,245_B_1798,NaN,34.38,31.2
127,test1,250_B_1858,NaN,37.01,34.66
128,all_products,19_B_126,NaN,39.39,36.95
129,all_products,35_B_222,NaN,39.57,37.26
130,all_products,70_B_426,NaN,39.66,36.91
131,all_products,242_B_1762,NaN,40,37.76
132,all_products,166_B_966,NaN,40,39.51
133,all_products,201_B_1270,NaN,39.34,36.86
134,all_products,209_B_1366,NaN,39.75,36.88
135,all_products,214_B_1426,NaN,38.46,35.99
136,all_products,236_B_1690,NaN,39.15,36.67
137,all_products,245_B_1798,NaN,40,40
138,all_products,250_B_1858,NaN,40,1
139,test1,19_C_127,NaN,32.37,28.65
140,test1,35_C_223,NaN,32.78,29.07
141,test1,70_C_427,NaN,32.35,28.47
142,test1,242_C_1763,NaN,32.96,29.3
143,test1,166_C_967,NaN,33.71,30.21
144,test1,201_C_1271,NaN,35.47,32.5
145,test1,209_C_1367,NaN,32.74,29.04
146,test1,214_C_1427,NaN,33.82,30.4
147,test1,236_C_1691,NaN,34.65,31.55
148,test1,245_C_1799,NaN,35.49,32.66
149,test1,188_A_1197,NaN,33.47,29.98
