"","reaction_type","sampleID","starting_quantity","Cycle_number","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"V2","test1","10_A_65","NaN","A1","3454.386505","3442.930248","3438.691116","3436.933869","3433.844111","3427.094473","3423.246976","3429.223695","3426.893004","3420.159713","3424.982814","3420.935499","3423.838731","3415.537181","3413.229714","3408.567707","3405.256724","3406.861493","3409.393038","3409.970506","3402.716272","3410.530482","3411.371727","3413.171896","3425.907721","3436.527323","3466.200613","3499.080879","3556.588497","3627.620851","3708.303343","3800.020848","3880.649326","3956.992235","4025.96641","4093.285341","4164.939543","4221.616076","4269.886302","4322.744"
"V3","test1","30_A_185","NaN","A2","3571.839267","3535.148774","3524.464465","3523.795211","3521.798487","3515.278041","3516.169047","3516.316996","3513.345058","3507.168192","3507.765125","3504.061351","3508.248335","3502.618457","3503.9806","3506.857734","3500.655284","3501.095625","3498.172365","3504.012831","3501.595144","3502.881967","3505.854399","3510.965957","3517.41352","3527.31643","3543.599052","3589.970412","3645.838125","3722.188247","3811.370668","3900.282873","3993.479748","4079.224844","4155.936808","4230.424604","4304.065731","4370.790224","4428.590799","4491.929333"
"V4","test1","46_A_281","NaN","A3","3465.85584","3443.171949","3441.406579","3437.522138","3435.19309","3430.373715","3430.208883","3428.910917","3429.207763","3427.062963","3421.911831","3421.443367","3420.363103","3417.450451","3421.621234","3419.469284","3419.483739","3418.773378","3418.381463","3422.59509","3418.61881","3424.960675","3427.607234","3431.712229","3444.034158","3471.587638","3500.79303","3551.938688","3624.560193","3699.189377","3775.475416","3852.346633","3925.973452","3993.512242","4059.661659","4118.395289","4175.783659","4226.40474","4275.639915","4324.825024"
"V5","test1","233_A_1653","NaN","A4","3514.479105","3481.941098","3471.682828","3468.045343","3462.833996","3459.437235","3463.861268","3464.682543","3460.220335","3462.035699","3457.870469","3454.170757","3454.390337","3453.152392","3450.580772","3449.795394","3447.486307","3445.550915","3447.327156","3453.185618","3446.206072","3458.334349","3452.858841","3459.822433","3475.608725","3488.046194","3522.132373","3576.768893","3644.154387","3718.606406","3804.076017","3887.427873","3967.946951","4041.638923","4105.864409","4175.009779","4229.249546","4283.011534","4339.1049","4385.170229"
"V6","test1","162_A_941","NaN","A5","3443.228098","3424.088898","3418.339083","3412.562586","3411.495569","3413.87209","3409.268704","3414.820994","3412.594692","3411.513232","3412.235643","3407.223513","3406.68082","3401.241791","3403.990883","3405.868385","3401.809716","3402.740541","3402.077891","3405.947699","3403.917222","3406.388142","3411.360882","3416.656585","3433.598002","3458.025558","3504.982091","3564.203543","3638.237168","3721.633486","3801.968627","3877.587727","3957.00904","4032.461473","4086.107899","4154.165587","4207.989158","4257.974697","4309.154232","4348.666727"
"V7","test1","170_A_989","NaN","A6","3498.815752","3465.206027","3456.464404","3449.387218","3447.386312","3444.587592","3444.741148","3443.942465","3442.351128","3442.182947","3441.010489","3438.047897","3437.757056","3437.006203","3435.904073","3431.672742","3432.387612","3431.467497","3429.47637","3434.698285","3428.95329","3436.240746","3433.816998","3438.298936","3452.616924","3459.767116","3485.440817","3529.407286","3593.806884","3665.331317","3755.987641","3841.35782","3927.548371","4004.215778","4080.84917","4153.498398","4222.410479","4280.650479","4338.155482","4388.832691"
"V8","test1","206_A_1329","NaN","A7","3438.635721","3418.045803","3418.806488","3413.908182","3412.484305","3405.512971","3403.410601","3406.125763","3399.01214","3404.348739","3396.596593","3396.829577","3397.268456","3397.10096","3395.813814","3392.922559","3388.797964","3387.73743","3391.869405","3393.230553","3393.360351","3396.798688","3392.284254","3398.713838","3407.507243","3421.614271","3451.251495","3495.599834","3556.786993","3629.892229","3714.047425","3790.544427","3871.866543","3942.703166","4004.595346","4073.72548","4131.680484","4185.994974","4233.826338","4283.456745"
"V9","test1","212_A_1401","NaN","A8","3555.87611","3520.982802","3516.682809","3510.699531","3505.593143","3503.553798","3500.751858","3504.13284","3502.654401","3499.56247","3499.096128","3491.426307","3492.362081","3499.305203","3489.455856","3488.588738","3485.58771","3483.831022","3485.806017","3485.498967","3482.459085","3491.536497","3482.063926","3484.860548","3490.95161","3493.358633","3505.596411","3519.964795","3546.831229","3590.590648","3656.209799","3739.506815","3827.886682","3909.683085","3984.559424","4074.65658","4151.325002","4218.170971","4280.764376","4348.754084"
"V10","test1","231_A_1629","NaN","A9","3547.565593","3525.004476","3523.362201","3518.937127","3516.252907","3512.902688","3508.936064","3510.973534","3508.942327","3504.436175","3505.819629","3501.278748","3501.200587","3500.861116","3501.851432","3500.824659","3494.946889","3501.666479","3492.4996","3498.335871","3492.583088","3497.721725","3496.618659","3499.90066","3506.757681","3511.040492","3522.798514","3547.563862","3582.503606","3638.447115","3720.033339","3804.196595","3894.708604","3980.731295","4056.693031","4141.561712","4214.70715","4277.900729","4345.546639","4409.216337"
"V11","test1","243_A_1793","NaN","A10","3550.145957","3514.383795","3512.684703","3506.344003","3500.071028","3497.328986","3498.041287","3498.53815","3496.911131","3493.152049","3493.350319","3485.638717","3489.357505","3490.492776","3488.774184","3487.988068","3487.634535","3487.168821","3484.753368","3484.692669","3478.646487","3485.500652","3481.070531","3482.895026","3487.612171","3486.988459","3493.209565","3496.842589","3504.726938","3514.74013","3556.976338","3595.651364","3667.751009","3748.4617","3828.801632","3922.977036","4000.876909","4073.305304","4153.190528","4222.788197"
