"","reaction_type","sampleID","starting_quantity","cpD1","cpD2"
"V2","reaction_type","sampleID","starting_quantity","cpD1","cpD2"
"V3","test1","10_A_65","NaN","32.979999999999997","29.46"
"V4","test1","30_A_185","NaN","33.21","29.67"
"V5","test1","46_A_281","NaN","32.33","28.51"
"V6","test1","233_A_1653","NaN","32.44","28.78"
"V7","test1","162_A_941","NaN","31.95","28.16"
"V8","test1","170_A_989","NaN","32.950000000000003","29.37"
"V9","test1","206_A_1329","NaN","32.67","29.08"
"V10","test1","212_A_1401","NaN","34.36","31.13"
"V11","test1","231_A_1629","NaN","33.909999999999997","30.54"
"V12","test1","243_A_1793","NaN","35.65","32.770000000000003"
"V13","test1","221_A_1509","NaN","34.5","31.2"
"V14","test1","248_A_1833","NaN","36.68","33.979999999999997"
"V15","test1","gblock+IRE_plus18IRE","100","17.86","12.83"
"V16","test1","gblock+IRE_plus18IRE","100","17.97","12.83"
"V17","test1","gblock+IRE_plus18IRE","100","17.95","12.82"
"V18","all_products","gblock+IRE_plus18IRE","100","19.260000000000002","13.68"
"V19","all_products","gblock+IRE_plus18IRE","100","19.23","13.59"
"V20","all_products","gblock+IRE_plus18IRE","100","19.22","13.54"
"V21","all_products","gblock_minusIRE_onlyExonnoIRE","100","18.13","12.52"
"V22","all_products","gblock_minusIRE_onlyExonnoIRE","100","18.32","12.61"
"V23","all_products","gblock_minusIRE_onlyExonnoIRE","100","18.37","12.38"
"V24","all_products","10_A_65","NaN","38.53","36.33"
"V25","all_products","30_A_185","NaN","39.69","37.67"
"V26","all_products","46_A_281","NaN","38.83","36.549999999999997"
"V27","all_products","233_A_1653","NaN","38.380000000000003","36.159999999999997"
"V28","all_products","162_A_941","NaN","38.14","35.92"
"V29","all_products","170_A_989","NaN","39.200000000000003","36.979999999999997"
"V30","all_products","206_A_1329","NaN","38.869999999999997","36.67"
"V31","all_products","212_A_1401","NaN","40","39.44"
"V32","all_products","231_A_1629","NaN","40","38.29"
"V33","all_products","243_A_1793","NaN","40","1"
"V34","all_products","221_A_1509","NaN","40","38.33"
"V35","all_products","248_A_1833","NaN","40","1"
"V36","test1","gblock+IRE_plus18IRE","0.5","26.12","21.38"
"V37","test1","gblock+IRE_plus18IRE","0.5","25.99","21.34"
"V38","test1","gblock+IRE_plus18IRE","0.5","25.99","21.29"
"V39","all_products","gblock+IRE_plus18IRE","0.5","27.59","22.76"
"V40","all_products","gblock+IRE_plus18IRE","0.5","27.63","22.81"
"V41","all_products","gblock+IRE_plus18IRE","0.5","27.62","22.76"
"V42","all_products","gblock_minusIRE_onlyExonnoIRE","0.5","26.29","21.46"
"V43","all_products","gblock_minusIRE_onlyExonnoIRE","0.5","26.2","21.3"
"V44","all_products","gblock_minusIRE_onlyExonnoIRE","0.5","26.48","21.45"
"V45","test1","10_B_66","NaN","35.56","32.76"
"V46","test1","30_B_186","NaN","37.28","34.840000000000003"
"V47","test1","46_B_282","NaN","32.64","28.88"
"V48","test1","233_B_1654","NaN","34.01","30.7"
"V49","test1","162_B_942","NaN","31.87","27.99"
"V50","test1","170_B_990","NaN","32.35","28.58"
"V51","test1","206_B_1330","NaN","33.11","29.54"
"V52","test1","212_B_1402","NaN","33.79","30.47"
"V53","test1","231_B_1630","NaN","35.659999999999997","32.770000000000003"
"V54","test1","243_B_1794","NaN","35.56","32.53"
"V55","test1","221_B_1510","NaN","33.82","30.35"
"V56","test1","248_B_1834","NaN","34.67","31.49"
"V57","test1","gblock+IRE_plus18IRE","50","19.07","14.07"
"V58","test1","gblock+IRE_plus18IRE","50","19.190000000000001","14.14"
"V59","test1","gblock+IRE_plus18IRE","50","19.11","14.04"
"V60","all_products","gblock+IRE_plus18IRE","50","20.45","15"
"V61","all_products","gblock+IRE_plus18IRE","50","20.5","15"
"V62","all_products","gblock+IRE_plus18IRE","50","20.37","14.75"
"V63","all_products","gblock_minusIRE_onlyExonnoIRE","50","19.52","13.7"
"V64","all_products","gblock_minusIRE_onlyExonnoIRE","50","19.489999999999998","13.86"
"V65","all_products","gblock_minusIRE_onlyExonnoIRE","50","19.41","13.7"
"V66","all_products","10_B_66","NaN","40","1.98"
"V67","all_products","30_B_186","NaN","40","1"
"V68","all_products","46_B_282","NaN","40","37.630000000000003"
"V69","all_products","233_B_1654","NaN","38.43","36.82"
"V70","all_products","162_B_942","NaN","38.42","36.15"
"V71","all_products","170_B_990","NaN","39.08","36.93"
"V72","all_products","206_B_1330","NaN","40","37.46"
"V73","all_products","212_B_1402","NaN","40","40"
"V74","all_products","231_B_1630","NaN","40","1"
"V75","all_products","243_B_1794","NaN","40","1"
"V76","all_products","221_B_1510","NaN","40","37.700000000000003"
"V77","all_products","248_B_1834","NaN","40","1"
"V78","test1","gblock+IRE_plus18IRE","0.1","28.46","23.95"
"V79","test1","gblock+IRE_plus18IRE","0.1","28.28","23.83"
"V80","test1","gblock+IRE_plus18IRE","0.1","28.42","23.97"
"V81","all_products","gblock+IRE_plus18IRE","0.1","29.95","25.52"
"V82","all_products","gblock+IRE_plus18IRE","0.1","30.12","25.61"
"V83","all_products","gblock+IRE_plus18IRE","0.1","30","25.55"
"V84","all_products","gblock_minusIRE_onlyExonnoIRE","0.1","28.66","24.11"
"V85","all_products","gblock_minusIRE_onlyExonnoIRE","0.1","28.59","23.97"
"V86","all_products","gblock_minusIRE_onlyExonnoIRE","0.1","28.74","24.08"
"V87","test1","10_C_67","NaN","32.409999999999997","28.74"
"V88","test1","30_C_187","NaN","32.44","28.71"
"V89","test1","46_C_283","NaN","32.979999999999997","29.42"
"V90","test1","233_C_1655","NaN","34.81","31.6"
"V91","test1","162_C_943","NaN","31.88","27.94"
"V92","test1","170_C_991","NaN","32.53","28.75"
"V93","test1","206_C_1331","NaN","35.229999999999997","32.1"
"V94","test1","212_C_1403","NaN","33.71","30.26"
"V95","test1","231_C_1631","NaN","33.44","29.92"
"V96","test1","243_C_1795","NaN","34.380000000000003","31.08"
"V97","test1","221_C_1511","NaN","38.159999999999997","35.840000000000003"
"V98","test1","248_C_1835","NaN","33.700000000000003","30.18"
"V99","test1","gblock+IRE_plus18IRE","10","21.54","16.66"
