"","sampleID.exp","test1.exp","allP.exp"
"1","1013",11.77,23.75
"2","1014",15.36,28.14
"3","1015",16.34,25.31
"4","1016",17.26,25.46
"5","1025",13.68,1
"6","1027",14.36,23.95
"7","1037",16.57,27.84
"8","1038",16.01,24.16
"9","1039",14.76,24.53
"10","1040",17.2,24.47
"11","1049",13.39,25
"12","1050",13.42,29.37
"13","1051",14.86,25.35
"14","1052",12.96,24.45
"15","1061",19.23,24.81
"16","1062",13.86,15.02
"17","1063",13.18,24.13
"18","1064",14.43,24.43
"19","1073",11.86,28.85
"20","1074",12.72,23.37
"21","1075",11.58,25.34
"22","1076",15.15,16.4
"23","1085",13.64,24.51
"24","1086",12.87,26
"25","1087",13.19,23.08
"26","1088",13.46,23.05
"27","1199",11.71,25.09
"28","1200",14.65,23.66
"29","1221",14.08,12.23
"30","1222",17.06,16.03
"31","1223",18.37,27.75
"32","1224",13.1,16.27
"33","1245",14.89,24.03
"34","1246",13.24,22.09
"35","1247",13.81,23.25
"36","1248",14.03,22.76
"37","1258",14.21,24.57
"38","1259",14.27,24.38
"39","1260",13.98,24.41
"40","1275",14.71,22.63
"41","1281",14.79,22.8
"42","1282",14.51,22.88
"43","1283",12.68,24.06
"44","1284",16.59,23.35
"45","1293",13.1,24.26
"46","1294",14.88,23.17
"47","1295",16.53,22.24
"48","1296",10.72,23.19
"49","1305",14.12,22.92
"50","1306",13.85,13.23
"51","1307",14.64,24
"52","1308",13.85,23.14
"53","1317",14.62,14.18
"54","1320",21.62,30.67
"55","1329",16.62,10.1
"56","1332",12.66,16.79
"57","1341",17.89,31.73
"58","1342",14.88,28.29
"59","1344",16.36,28.93
"60","1353",21.93,22.43
"61","1354",15.77,28.77
"62","1355",11.98,30.21
"63","1356",17.22,13.4
"64","1377",13.96,1
"65","1378",14.31,23.5
"66","1379",17.52,30.63
"67","1380",13.52,21.59
"68","1389",17.08,25.89
"69","1390",15.04,21.56
"70","1391",20.45,27.16
"71","1392",1.34,23.05
"72","1423",14.37,3.14
"73","1424",12.68,29.41
"74","1426",21.4,10.16
"75","1437",20.17,30.34
"76","1439",21.01,1
"77","1440",16.31,17.18
"78","1449",12.49,18.81
"79","1450",14.87,24.34
"80","1451",13.38,28.93
"81","1452",15.65,21.7
"82","1461",12.59,27.62
"83","1462",12.23,16.85
"84","1463",14.14,1
"85","1467",14.97,22.35
"86","1487",14.58,20.88
"87","1488",16.17,22.26
"88","1497",14.84,14.57
"89","1498",20.86,25.54
"90","1499",18.9,21.5
"91","1500",16.31,20.74
"92","1521",13.39,18.69
"93","1522",16.33,1
"94","1523",15.52,33.15
"95","1524",21.13,1
"96","1533",21.94,22.73
"97","1534",20.05,30.65
"98","1535",1,30.21
"99","1536",13.21,25.36
"100","1543",12.84,19.15
"101","1545",23.1,28.27
"102","1546",11.51,23.48
"103","1547",1,15.83
"104","1557",20.3,29.63
"105","1558",17.39,30.53
"106","1809",16.61,26.28
"107","1810",13.9,25.08
"108","1811",17.3,27.72
"109","1812",15.15,27.56
"110","1821",17.21,28.18
"111","1822",20.77,1
"112","1823",14.45,27.67
"113","1824",15.94,27.8
"114","1845",15.06,26.75
"115","1846",15.2,27.46
"116","1847",16.32,27.46
"117","1848",14.4,25.25
"118","499",17.34,27.39
"119","500",16.65,28.03
"120","509",18,28.07
"121","510",15.89,28.43
"122","511",16.19,28.39
"123","512",15.68,27.5
"124","521",14.28,28.01
"125","522",17.98,2.19
"126","523",16.13,27.32
"127","524",16.08,27.23
"128","533",17.96,26.88
"129","534",17.04,27.51
"130","535",12.74,26.78
"131","536",15.29,28.48
"132","545",15.61,24.3
"133","546",18.85,33.96
"134","547",15.04,25.7
"135","548",14.65,29.66
"136","557",13.79,28.15
"137","558",16.38,27.98
"138","559",15.01,27.52
"139","560",14.56,27.12
"140","569",16.88,26.92
"141","570",19.77,34.67
"142","571",17.07,27.45
"143","572",17.36,27.7
"144","581",17.67,27.53
"145","582",16.05,28.5
"146","583",17.14,30.85
"147","584",14.61,27.24
"148","593",13.6,25.7
"149","594",20.35,35.81
"150","595",16.69,26.16
"151","596",15.63,26.26
"152","605",16.43,27.96
"153","606",15.72,27.65
"154","607",15.37,27.96
"155","608",14.88,27.85
"156","617",15.75,29.69
"157","618",18.6,36.03
"158","619",16.56,26.63
"159","620",16.01,26.71
"160","629",16.66,24.59
"161","630",16.84,23.9
"162","631",16.76,27.79
"163","632",15.84,27.46
"164","641",20.5,33.44
"165","642",16.36,28.81
"166","643",15.84,27.37
"167","644",15.62,26.32
"168","653",16.63,24.71
"169","654",15.25,27
"170","655",16.2,27.3
"171","656",15,25.46
"172","665",14.02,29.81
"173","666",19.4,33.99
"174","667",18.49,28.36
"175","668",19.9,29.82
"176","677",16.93,27.61
"177","678",16.73,26.59
"178","679",16.35,26.07
"179","680",16.25,28.2
"180","689",16.01,27.46
"181","690",21.92,36.01
"182","691",17.31,27.43
"183","692",15.5,25.75
"184","701",13.58,23.53
"185","702",16.69,25.4
"186","703",15.28,26.27
"187","704",15.21,26.32
"188","713",15.49,28.91
"189","714",20.64,32.13
"190","715",17.36,28.09
"191","977",12.01,28.42
"192","978",16,24.34
"193","979",15.13,23.49
"194","980",13.47,24.95
