"","names","allpos","pval"
"1","gpm27",0.01,0.661131488163233
"2","tub1",0.81,0.172169624957231
"3","gpm113b",0.82,0.0615476648415272
"4","gpm705a",0.84,0.0777810831800243
"5","gpm325a",4.97,0.735114392723744
"6","dmt103b",6.89,0.710810940607235
"7","gpm699d",8.67,0.117706039227177
"8","gpm319",14.82,0.0267809846372523
"9","IDP1447",19.92,0.635323794390064
"10","bnl5.62a",21.12,0.290918249865421
"11","IDP1464",21.17,0.243022480024834
"12","fus6",22.62,0.677969611589487
"13","AY109692",23.62,0.614389217557517
"14","mmp102",24.42,0.116965024826706
"15","AY110314",29.42,0.15338670370464
"16","umc94a",38.62,0.182938389114919
"17","gpm331",38.71,0.0557075655161847
"18","lim179",47.02,0.0414800092058717
"19","IDP755",52.47,0.0602565491424172
"20","AY107629",54.63,0.235322247098019
"21","mmp49",56.12,0.724676714155535
"22","cdo1081a",57.82,0.753780566140453
"23","asg31",65.22,0.999249588588558
"24","npi415",66.02,0.3402531645784
"25","ufg31",71.62,0.0161590654398757
"26","gpm330",71.91,0.0140040905201381
"27","ufg33",72.02,0.0155806136525369
"28","ufg32",72.82,0.0136519224649589
"29","ufg34",74.42,0.0226994067116606
"30","AY108650",77.57,0.000176273214712031
"31","gpm495",80.45,0.0129198461803567
"32","gpm83b",80.75,0.0157354060445252
"33","gpm767",80.94,0.0330148425054996
"34","bnlg1014",81.12,0.165659650964003
"35","umc1363a",82.02,0.0462835730133472
"36","gst12",83.52,0.020178381130625
"37","umc1269",84.62,0.0997378443239463
"38","umc2012",85.72,0.544662229809854
"39","umc1977",87.52,0.295549413301933
"40","IDP553",88.91,0.59330578129948
"41","IDP4043",89.33,0.837986858759848
"42","php20603",90.02,0.321676559973442
"43","sgb101",90.74,0.894904398998908
"44","IDP1437",91.9,0.623713161714024
"45","IDP847",93.03,0.535354320998854
"46","gpm125",96.14,0.368264257314555
"47","lls1",97.12,0.652750016675709
"48","php20689",99.42,0.117486834597395
"49","umc1685",101.32,0.0418443565168165
"50","gpm557b",106.62,0.408135878439366
"51","umc1160",106.63,0.521443499959011
"52","gpm584",107.6,0.160321222261879
"53","gpm346b",108.13,0.714626553958154
"54","gpm33e",108.55,0.659577567001355
"55","umc2224",109.23,0.642448076800272
"56","gpm556",110.49,0.737482209270316
"57","npi579b",110.53,0.182281832048438
"58","IDP3917",115.28,0.184014679632794
"59","gpm199c",115.57,0.71078115157793
"60","IDP1425",118.03,0.27498452289382
"61","mmp68",121.93,0.934966459678181
"62","umc2225",123.03,0.825467968423024
"63","csu1171",125.63,0.355820030904567
"64","mmp171b",130.13,0.642250355022111
"65","gpm403b",131.93,0.20204612879333
"66","umc1568",140.13,0.686936632756626
"67","IDP3783",140.14,0.555361321819263
"68","bnlg1429",141.83,0.454965208738271
"69","IDP209",144.3,0.617737253298858
"70","php20640",145.23,0.843509132334001
"71","lim504",149.93,0.0323172862521878
"72","gpm283b",151.4,0.454096243656649
"73","IDP343",152.71,0.752629473127365
"74","IDP622",152.96,0.281656256413391
"75","IDP3970",156.2,0.694599057667119
"76","umc1976",158.93,0.823111196627838
