,chr.type,chr,loc.name,pos,mQTL.lod,mQTL.asymp.p,vQTL.lod,vQTL.asymp.p,mvQTL.lod,mvQTL.asymp.p,m__est__(Intercept),m__est__BreedTypeInbred,m__est__mean.QTL.add,m__est__mean.QTL.dom,m__est__BreedTypeInbred:mean.QTL.add,m__est__BreedTypeInbred:mean.QTL.dom,m__se__(Intercept),m__se__BreedTypeInbred,m__se__mean.QTL.add,m__se__mean.QTL.dom,m__se__BreedTypeInbred:mean.QTL.add,m__se__BreedTypeInbred:mean.QTL.dom,v__est__(Intercept),v__est__BreedTypeInbred,v__est__var.QTL.add,v__est__var.QTL.dom,v__est__BreedTypeInbred:var.QTL.add,v__est__BreedTypeInbred:var.QTL.dom,v__se__(Intercept),v__se__BreedTypeInbred,v__se__var.QTL.add,v__se__var.QTL.dom,v__se__BreedTypeInbred:var.QTL.add,v__se__BreedTypeInbred:var.QTL.dom
1,A,1,gpm27,0.01,0,1,0,1,0,1,12.14731569,0.865225428,-0.67034354,-4.259285305,0.974173673,-153.5385662,0.622284189,0.832530015,0.476541617,155.0603597,0.599507366,213.4007552,2.286428789,0.179811153,0.195675902,77.85181206,-0.273671898,10.42843882,0.503190889,0.650684851,0.349216453,64.30960777,0.448082781,88.06795205
2,A,1,tub1,0.81,0,1,0,1,0,1,12.05610771,0.959056739,-0.756145002,276.6713549,1.088271177,-3300.20708,0.634050322,0.841139239,0.509663433,109.9868207,0.62344475,2046.812369,2.308863573,0.156214575,0.406372255,-110.8396764,-0.48218804,1122.052345,0.569519556,0.731559001,0.371633743,125.983585,0.482682689,824.6436097
3,A,1,gpm113b,0.82,-1.97E-13,1,-2.96E-13,1,-1.48E-13,1,12.05704803,0.959746934,-0.084638097,-622764.7127,0.411497746,621552.6121,0.633861661,0.84068945,0.449376293,194953.8422,0.574163519,194955.5095,2.30824362,0.154793775,0.14182503,55223.05515,-0.224447192,-54848.07471,0.473712923,0.608491468,0.313701863,90760.83203,0.404736439,90761.19592
4,A,1,gpm705a,0.84,9.87E-14,1,-4.94E-13,1,-6.91E-13,1,13.24484695,-0.222350559,-0.734128529,-117583.2859,1.065085664,117103.2711,0.823000605,0.989905861,0.479714068,57985.22029,0.598401981,57986.10169,1.893068178,0.561572935,0.31188032,40564.67357,-0.385280502,-40411.13191,0.659780522,0.778813217,0.347707523,35732.6883,0.445075755,35732.87848
5,A,1,gpm325a,4.97,6.07E-12,1,-4.69E-12,1,-3.16E-12,1,11.72073737,1.46173335,-0.561223556,66288.31735,0.710464909,-66300.56648,0.709610272,0.917109016,0.472897958,29374.63733,0.597016362,29374.63893,2.42810053,0.058719407,0.330005642,-25559.91251,-0.419171794,25564.00476,0.553266472,0.690296582,0.328148961,25557.26712,0.423637036,25557.2673
6,A,1,dmt103b,6.89,-4.94E-14,1,-4.94E-14,1,-9.87E-14,1,11.02476079,2.311241848,0.001068165,4780.520881,0.084258467,-9188.499073,0.773339329,1.101050271,0.523227749,2104.221248,0.687354153,3331.070667,2.22038812,0.68561892,0.414758422,-297.3768289,-0.719022257,381.8302754,0.756687501,0.932051914,0.441437615,2152.259738,0.55669392,2803.384196
7,A,1,gpm699d,8.67,-4.94E-14,1,-4.94E-14,1,0,1,11.44222975,1.179257298,-0.371421279,736.7237111,0.808235005,-735.3479152,0.792273123,1.068692372,0.515676026,476.9618142,0.671305816,477.0112155,2.442824312,0.544716319,0.28179942,-47.96706392,-0.628052886,47.37741854,0.701851675,0.857181986,0.416753745,369.8997506,0.53411927,369.961389
8,A,1,gpm319,14.82,-9.87E-14,1,-9.87E-14,1,-1.48E-13,1,11.02895143,2.133376391,0.093189903,72.5246662,-0.098640301,-73.12064035,0.772868079,1.149181563,0.515243369,33.20832804,0.701783198,33.34728402,2.219325667,0.884822836,0.413041465,-32.75516514,-0.796431602,31.53882147,0.761408994,0.932948358,0.440796801,41.34431126,0.554187385,41.44805384
9,A,1,IDP1447,19.92,0,1,0,1,0,1,11.02892048,2.493215948,0.147018013,827.5510632,-0.391949169,-2709.732662,0.772868517,1.059351767,0.524085955,735.1573961,0.672836629,1595.125471,2.219454862,0.786291413,0.440454813,-2236.716102,-0.831623104,2404.330266,0.758351562,0.8973044,0.440212915,1261.173576,0.544233305,1780.058342
10,A,1,bnl5.62a,21.12,4.94E-14,1,9.87E-14,1,4.94E-14,1,11.02189296,2.026196931,0.20115354,-3702.066845,-0.296892177,199612.9807,0.847491054,1.199585186,0.492703923,87527.56895,0.684800188,139747.491,2.343604217,0.756479327,0.379400289,-58015.84603,-0.788177066,-30620.62402,0.708299995,0.852971158,0.389091876,74443.79346,0.490532654,115582.3244
11,A,1,IDP1464,21.17,0,1,0,1,0,1,11.53173556,2.503680971,0.169351861,-207821.5598,-0.628791053,-43628.85654,0.788012875,0.989962878,0.488525242,112968.7887,0.609525284,175208.4101,2.112627571,0.430506462,0.342507868,42533.098,-0.527437881,35802.51968,0.665233663,0.785287206,0.370629206,60916.16093,0.457223777,86955.78582
12,A,1,fus6,22.62,0,1,-4.94E-14,1,-4.94E-14,1,11.02849669,2.628795054,0.053434009,22847.49865,-0.455615249,-23507.25118,0.772878942,1.089048571,0.505440966,4526.46241,0.660594666,4861.907857,2.219475984,0.839246794,0.378589905,-7118.375222,-0.752350692,6278.328059,0.763736702,0.915468699,0.441082868,7613.047152,0.544745902,7787.763001
13,A,1,AY109692,23.62,-4.94E-14,1,-9.87E-14,1,-4.94E-14,1,11.09857243,3.562835493,0.245112357,-1946.548416,-0.984081613,-4330.945446,0.783993748,1.221604527,0.574865235,7338.277802,0.720069289,8218.210735,2.191408049,1.198570417,0.395054947,480.8963821,-0.919198694,-3244.123717,0.767588366,0.978261846,0.478198121,5141.42203,0.576702974,6064.254065
14,A,1,mmp102,24.42,1.97E-13,1,1.48E-13,1,1.97E-13,1,11.77584749,2.246921165,-0.231055477,-1204.04427,-0.464295869,1194.231126,1.063095714,1.20753203,0.595835399,1989.909168,0.714548883,1990.008965,2.379569324,0.078384383,0.304487018,-335.272942,-0.175684936,334.8782574,0.949715715,1.072587636,0.505779989,1792.691268,0.600921515,1792.759542
